UID,日期,产品代码,产品名称,单位净值,累计净值,来源文件
2024-01-30_SXA680,2024-01-30,SXA680,信弘中证1000指数增强1号私募证券投资基金,1.0014,1.0014,C:\Invest\净值存储\htsc_虚拟业绩报酬_波克锐进多策略1号私募证券投资基金_SXA680_信弘中证1000指数增强1号私募证券投资基金_2024-01-30.xls
2024-02-01_SXA680,2024-02-01,SXA680,信弘中证1000指数增强1号私募证券投资基金,0.9476,0.9476,C:\Invest\净值存储\htsc_虚拟业绩报酬_波克锐进多策略1号私募证券投资基金_SXA680_信弘中证1000指数增强1号私募证券投资基金_2024-02-01.xls
2024-02-02_SXA680,2024-02-02,SXA680,信弘中证1000指数增强1号私募证券投资基金,0.9101,0.9101,C:\Invest\净值存储\htsc_虚拟业绩报酬_波克锐进多策略1号私募证券投资基金_SXA680_信弘中证1000指数增强1号私募证券投资基金_2024-02-02.xls
2024-02-05_SXA680,2024-02-05,SXA680,信弘中证1000指数增强1号私募证券投资基金,0.8486,0.8486,C:\Invest\净值存储\htsc_虚拟业绩报酬_波克锐进多策略1号私募证券投资基金_SXA680_信弘中证1000指数增强1号私募证券投资基金_2024-02-05.xls
2024-01-29_SXJ593,2024-01-29,SXJ593,翔云50量化3号私募证券投资基金,1.066,1.066,C:\Invest\净值存储\htsc_虚拟业绩报酬_波克锐进多策略1号私募证券投资基金_SXJ593_翔云50量化3号私募证券投资基金_2024-01-29.xls
2024-01-30_SXJ593,2024-01-30,SXJ593,翔云50量化3号私募证券投资基金,1.0533,1.0533,C:\Invest\净值存储\htsc_虚拟业绩报酬_波克锐进多策略1号私募证券投资基金_SXJ593_翔云50量化3号私募证券投资基金_2024-01-30.xls
2024-02-01_SXJ593,2024-02-01,SXJ593,翔云50量化3号私募证券投资基金,1.0442,1.0442,C:\Invest\净值存储\htsc_虚拟业绩报酬_波克锐进多策略1号私募证券投资基金_SXJ593_翔云50量化3号私募证券投资基金_2024-02-01.xls
2024-02-02_SXJ593,2024-02-02,SXJ593,翔云50量化3号私募证券投资基金,1.0267,1.0267,C:\Invest\净值存储\htsc_虚拟业绩报酬_波克锐进多策略1号私募证券投资基金_SXJ593_翔云50量化3号私募证券投资基金_2024-02-02.xls
2024-02-05_SXJ593,2024-02-05,SXJ593,翔云50量化3号私募证券投资基金,1.0234,1.0234,C:\Invest\净值存储\htsc_虚拟业绩报酬_波克锐进多策略1号私募证券投资基金_SXJ593_翔云50量化3号私募证券投资基金_2024-02-05.xls
2024-01-29_XZ461A,2024-01-29,XZ461A,倍漾中证1000指数增强1期A类,1.0853,1.0853,C:\Invest\净值存储\htsc_虚拟业绩报酬_波克锐进多策略1号私募证券投资基金_XZ461A_倍漾中证1000指数增强1期A类_2024-01-29.xls
2024-01-30_XZ461A,2024-01-30,XZ461A,倍漾中证1000指数增强1期A类,1.0533,1.0533,C:\Invest\净值存储\htsc_虚拟业绩报酬_波克锐进多策略1号私募证券投资基金_XZ461A_倍漾中证1000指数增强1期A类_2024-01-30.xls
2024-01-31_XZ461A,2024-01-31,XZ461A,倍漾中证1000指数增强1期A类,1.0076,1.0076,C:\Invest\净值存储\htsc_虚拟业绩报酬_波克锐进多策略1号私募证券投资基金_XZ461A_倍漾中证1000指数增强1期A类_2024-01-31.xls
2024-02-02_XZ461A,2024-02-02,XZ461A,倍漾中证1000指数增强1期A类,0.9558,0.9558,C:\Invest\净值存储\htsc_虚拟业绩报酬_波克锐进多策略1号私募证券投资基金_XZ461A_倍漾中证1000指数增强1期A类_2024-02-02.xls
2024-01-29_STJ727,2024-01-29,STJ727,量瀛湛卢对冲2号私募证券投资基金,0.9944,1.1226,C:\Invest\净值存储\htsc_虚拟业绩报酬_申万宏源QFII波力派科技_STJ727_量瀛湛卢对冲2号私募证券投资基金_2024-01-29.xls
2024-01-30_STJ727,2024-01-30,STJ727,量瀛湛卢对冲2号私募证券投资基金,0.9936,1.1218,C:\Invest\净值存储\htsc_虚拟业绩报酬_申万宏源QFII波力派科技_STJ727_量瀛湛卢对冲2号私募证券投资基金_2024-01-30.xls
